SampleBC	SampleName	library-name
BC01	RL1	Plant-1-Leaf-UMIC-seq
BC03	RL4	Plant-1-Leaf-UMIC-seq
BC04	RL6	Plant-1-Leaf-UMIC-seq
BC05	RL11	Plant-1-Leaf-UMIC-seq
BC07	RL10	Plant-1-Leaf-UMIC-seq
BC08	RL7	Plant-1-Leaf-UMIC-seq
BC09	B2-CL1	Plant-1-Leaf-UMIC-seq
BC10	B2-1-CL1	Plant-1-Leaf-UMIC-seq
BC15	B2-CL2	Plant-1-Leaf-UMIC-seq
BC18	B1-CL1	Plant-1-Leaf-UMIC-seq
BC19	B1-1-CL1	Plant-1-Leaf-UMIC-seq
BC20	B1-1-CL2	Plant-1-Leaf-UMIC-seq
BC27	B1-CL4	Plant-1-Leaf-UMIC-seq
BC28	B1-CL5	Plant-1-Leaf-UMIC-seq
BC33	B3-CL1	Plant-1-Leaf-UMIC-seq
BC34	B3-1-CL1	Plant-1-Leaf-UMIC-seq
BC36	B3-CL2	Plant-1-Leaf-UMIC-seq
BC37	B3-2-CL1	Plant-1-Leaf-UMIC-seq
BC38	B3-2-CL2	Plant-1-Leaf-UMIC-seq
BC39	B3-CL3	Plant-1-Leaf-UMIC-seq
BC40	B3-CL4	Plant-1-Leaf-UMIC-seq
