SampleName	SampleBC	library_name
RL1	BC01	Plant-2-Leaf-UMIC-seq-1
RL2	BC02	Plant-2-Leaf-UMIC-seq-1
RL3	BC03	Plant-2-Leaf-UMIC-seq-1
RL4	BC04	Plant-2-Leaf-UMIC-seq-1
RL6	BC06	Plant-2-Leaf-UMIC-seq-1
RL7	BC07	Plant-2-Leaf-UMIC-seq-1
RL8	BC08	Plant-2-Leaf-UMIC-seq-1
RL9	BC09	Plant-2-Leaf-UMIC-seq-1
B1-CL3	BC19	Plant-2-Leaf-UMIC-seq-1
B1-3-CL1	BC21	Plant-2-Leaf-UMIC-seq-1
B1-CL2	BC22	Plant-2-Leaf-UMIC-seq-1
B1-2-CL1	BC23	Plant-2-Leaf-UMIC-seq-1
B1-CL1	BC25	Plant-2-Leaf-UMIC-seq-1
B1-1-CL1	BC26	Plant-2-Leaf-UMIC-seq-1
B1-1-CL2	BC27	Plant-2-Leaf-UMIC-seq-1
B2-CL3	BC36	Plant-2-Leaf-UMIC-seq-1
B2-3-CL1	BC37	Plant-2-Leaf-UMIC-seq-1
B2-3-CL2	BC38	Plant-2-Leaf-UMIC-seq-1
B2-CL2	BC39	Plant-2-Leaf-UMIC-seq-1
B2-2-CL1	BC40	Plant-2-Leaf-UMIC-seq-1
B2-2-CL2	BC41	Plant-2-Leaf-UMIC-seq-1
B2-CL1	BC42	Plant-2-Leaf-UMIC-seq-1
B2-1-CL1	BC43	Plant-2-Leaf-UMIC-seq-1
B2-1-CL2	BC44	Plant-2-Leaf-UMIC-seq-1
B3-CL3	BC45	Plant-2-Leaf-UMIC-seq-1
B3-3-CL1	BC46	Plant-2-Leaf-UMIC-seq-1
B3-3-CL2	BC47	Plant-2-Leaf-UMIC-seq-1
B3-CL2	BC48	Plant-2-Leaf-UMIC-seq-1
B3-2-CL1	BC49	Plant-2-Leaf-UMIC-seq-1
B3-CL1	BC01	Plant-2-Leaf-UMIC-seq-2
B3-1-CL1	BC02	Plant-2-Leaf-UMIC-seq-2
B3-1-CL2	BC03	Plant-2-Leaf-UMIC-seq-2
B4-CL2	BC04	Plant-2-Leaf-UMIC-seq-2
B4-2-CL1	BC05	Plant-2-Leaf-UMIC-seq-2
B4-2-CL2	BC06	Plant-2-Leaf-UMIC-seq-2
B4-CL1	BC07	Plant-2-Leaf-UMIC-seq-2
B4-1-CL1	BC09	Plant-2-Leaf-UMIC-seq-2
