SampleName	SampleBC	library_name
B1-P1-1	BC01	Plant-3-Progeny-UMIC-seq-1
B1-P1-2	BC02	Plant-3-Progeny-UMIC-seq-1
B1-P1-3	BC03	Plant-3-Progeny-UMIC-seq-1
B1-P2-1	BC04	Plant-3-Progeny-UMIC-seq-1
B1-P2-2	BC05	Plant-3-Progeny-UMIC-seq-1
B1-P2-3	BC06	Plant-3-Progeny-UMIC-seq-1
B1-P2-4	BC07	Plant-3-Progeny-UMIC-seq-1
B1-P2-5	BC08	Plant-3-Progeny-UMIC-seq-1
B1-P6-1	BC09	Plant-3-Progeny-UMIC-seq-1
B1-P6-2	BC10	Plant-3-Progeny-UMIC-seq-1
B1-P6-3	BC11	Plant-3-Progeny-UMIC-seq-1
B1-P6-5	BC13	Plant-3-Progeny-UMIC-seq-1
B1-4-P1-2	BC15	Plant-3-Progeny-UMIC-seq-1
B1-4-P1-3	BC16	Plant-3-Progeny-UMIC-seq-1
B1-4-P1-4	BC17	Plant-3-Progeny-UMIC-seq-1
B1-4-P2-1	BC19	Plant-3-Progeny-UMIC-seq-1
B1-4-P2-5	BC25	Plant-3-Progeny-UMIC-seq-1
B1-4-P4-2	BC29	Plant-3-Progeny-UMIC-seq-1
B1-4-P4-3	BC30	Plant-3-Progeny-UMIC-seq-1
B2-P5-1	BC15	Plant-3-Progeny-UMIC-seq-2
B2-P5-3	BC17	Plant-3-Progeny-UMIC-seq-2
B2-6-P1-1	BC19	Plant-3-Progeny-UMIC-seq-2
B2-6-P1-2	BC20	Plant-3-Progeny-UMIC-seq-2
B2-6-P1-3	BC21	Plant-3-Progeny-UMIC-seq-2
B2-6-P1-6	BC25	Plant-3-Progeny-UMIC-seq-2
B2-6-P2-1	BC26	Plant-3-Progeny-UMIC-seq-2
B2-6-P2-3	BC30	Plant-3-Progeny-UMIC-seq-2
B2-6-P2-4	BC31	Plant-3-Progeny-UMIC-seq-2
B2-6-P2-5	BC32	Plant-3-Progeny-UMIC-seq-2
B2-6-P5-1	BC33	Plant-3-Progeny-UMIC-seq-2
B2-6-P5-2	BC34	Plant-3-Progeny-UMIC-seq-2
B2-6-P5-4	BC36	Plant-3-Progeny-UMIC-seq-2
B3-P2-1	BC46	Plant-3-Progeny-UMIC-seq-2
B3-P3-2	BC48	Plant-3-Progeny-UMIC-seq-2
B3-P6-1	BC49	Plant-3-Progeny-UMIC-seq-2
B3-P6-2	BC51	Plant-3-Progeny-UMIC-seq-2
B3-P6-4	BC53	Plant-3-Progeny-UMIC-seq-2
B3-P6-5	BC54	Plant-3-Progeny-UMIC-seq-2
