sample	x	y
RL1	2	10
RL4	5	10
RL6	8	10
RL7	11	10
RL10	14	10
RL11	17	10
B2-CL1	14	12
B2-1-CL1	11	14
B2-CL2	17	26
B1-CL1	24	12
B1-1-CL1	21	16
B1-1-CL2	24	22
B1-CL4	24	30
B1-CL5	32	33
B3-CL3	41	21
B3-CL4	50	24
B3-CL1	31	9
B3-1-CL1	30	15
B3-CL2	41	9
B3-2-CL1	44	9
B3-2-CL2	47	17
B2-P1-1	1	40
B2-P1-2	1	38
B2-P2-1	1	36
B2-P2-2	1	34
B2-P4-1	1	32
B2-P5-1	1	30
B2-P5-2	1	28
B2-2-P1-1	14	36
B2-2-P3-1	14	34
B2-2-P3-2	14	32
B1-1-P4-2	19	24
B1-1-P9-2	22	26
B1-2-P1-2	35	37
B1-2-P6-1	47	34
B1-2-P8-4	47	32
B3-1-P2-1	42	29
B3-1-P2-4	42	27
B3-1-P2-6	42	25
B3-1-P4-1	42	23
B3-2-P4-1	59	18
B3-2-P5-2	59	16
B3-P3-2	59	31
B3-P3-3	59	29
B3-P3-4	59	27
